iter	Passed	Remaining
0	5	5446
1	9	4867
2	12	4319
3	21	5409
4	28	5581
5	36	6064
6	43	6198
7	51	6354
8	59	6513
9	71	7062
10	87	7847
11	96	7934
12	103	7867
1313	136	9621414	145	9561515	153	9428
16	160	9264
17	168	9161818	180	9317
19	184	9062020	194	9064
21	201	8970
22	208	8872
23	219	8926
24	228	8913
25	234	8794
26	241	8692727	248	8642828	261	8755
29	266	86330	248	7764
31	255	7720
32	264	7751
33	269	7644
3434	298	8223535	305	8183636	315	8200
37	322	8158
38	328	8083939	336	8064040	348	8159
41	355	8109
42	361	8036
43	364	7924444	372	7914545	379	7864646	386	78347	369	7323
48	377	7333
49	388	7375
50	392	7312
51	398	7260
52	408	7292
53	419	7354
54	433	7449
55	438	7386
56	442	7321
57	446	7257
58	453	7235
59	462	7246
60	467	7202
61	471	7140
6262	507	7546363	513	7506464	522	7526565	531	75266	517	7202
67	525	7201
68	531	7166
6969	564	7497070	572	7487171	579	7467272	592	7525
73	602	7538
74	607	7487
75	614	7470
76	621	7446
77	628	7427878	636	7421
79	643	7404
80	648	7359
81	653	7318282	660	7302
83	667	7279
84	679	7309
85	685	7289
86	696	7313
87	707	7327
88	716	7337
89	726	7349
90	736	7355
91	741	7320
92	747	7285
93	752	7256
94	759	7239
95	765	7206
96	770	7174
97	778	7168
98	782	7120
99	787	7088
100	796	7087
101	804	7082
102	811	7069
103	817	7044
104	824	7024
105	831	7013
106	838	6997
107	845	6983
108	850	69510109	853	690110	835	6687
111	844	6692
11112	877	68911113	891	6925
114	897	6903
115	901	6872
116	909	6863
117	917	6855
118	923	6838
119	933	6846
120	941	6840
121	952	6855
122	958	6832
123	966	6828
124	970	6795
125	979	6795
126	983	67612127	987	67212128	996	67212129	1006	6736
130	1015	6736
131	1021	6714
132	1037	6760
133	1042	6737
134	1047	6708
135	1051	6679
136	1059	6675
137	1063	6645
138	1069	6624
139	1074	6599
140	1082	6596
141	1088	6579
142	1097	6577
143	1105	6571
144	1112	6562
145	1118	6542
146	1125	6533
147	1130	6508
148	1134149	11149	1142150	1125	6327
151	1138	6351
152	1147	6351
153	1158	6362
154	1172	6389
155	1180	6386
156	1189	6388
157	1193	6361
158	1200	6347
159	1213	6372
160	1221	6365
161	1232	6377
162	1239	6362
163	1247	6358
164	1252	6336
165	1262	6344
166	1265	6313
167	1281	6344
168	1287	6330
169	1292	6312
170	1300	6305
171	1305	6283
172	1313	6279
173	1319	6264
174	1325	6246
175	1331	6233
176	1338	6225
177	1344	6207
178	1351	6198
179	1361	6203
180	1370	6199
181	1375	6183
182	1384	6180
183	1392	6174
184	1401	6173
185	1403	6143
186	1412	6141
187	1423	6146
188	1428	6128
189	1434	6116
190	1444	6117
191	1454	6118
192	1462	6114
193	1469	6106
194	1479	6107
195	1486	6095
196	1492	6083
197	1498	6070
198	1501	6041
199	1506	6025
200	1516	6027
201	1522	6016
202	1537	6035
203	1543	6023
204	1546	5997
205	1551	5980
206	1559	5973
207	1566	5965
208	1574	5959
209	1581	5951
210	1591	5952
211	1601	5952
212	1609	5947
213	1617	5942
214	1629	5947
215	1632	5925
216	1638	5910
217	1644	5900
218	1654	5900
219	1662	5892
220	1667	5879
221	1674	5868
222	1682	5862
223	1693	5866
224	1702	5863
225	1709	5856
226	1715	5840
227	1722	5832
228	1732	5831
229	1738	5821
230	1745	5811
231	1751	5799
232	1757	5785
233	1763	5772
234	1767	5754
235	1779	5761
236	1791	5766
237	1794	5746
238	1799	5730
239	1809	5728
240	1817	5725
241	1823	5712
242	1827	5693
243	1837	5691
244	1846	5690
245	1851	5675
246	1855	5655
247	1859	5637
248	1867	5631
249	1871	5614
250	1879	5609
251	1888	5606
252	1894	5593
253	1902	5587
254	1907	5571
255	1918	5575
256	1928	5574
257	1938	5573
258	1947	5573
259	1953	5560
260	1959	5548
261	1965	5536
262	1972	5528
263	1980	5521
264	1986	5510
265	1995	5505
266	2006	5508
267	2011	5494
268	2018	5483
269	2030	5490
270	2036	5478
271	2046	5478
272	2053	5467
273	2059	5457
274	2065	5444
275	2078	5453
276	2084	5440
277	2091	5430
278	2100	5427
279	2108	5422
280	2115	5411
281	2124	5410
282	2131	5401
283	2137	5388
284	2141	5372
285	2150	5367
286	2160	5367
287	2168	5360
288	2177	5356
289	2187	5355
290	2194	5347
291	2201	5338
292	2207	5326
293	2214	5318
294	2224	5316
295	2230	5304
296	2241	5306
297	2250	5301
298	2258	5293
299	2263	5280
300	2269	5271
301	2277	5263
302	2284	5254
303	2293	5250
304	2303	5248
305	2313	5246
306	2320	5237
307	2327	5228
308	2333	5218
309	2343	5216
310	2351	5209
311	2357	5198
312	2366	5193
313	2372	5183
314	2379	5174
315	2387	5168
316	2397	5166
317	2403	5154
318	2408	5142
319	2413	5129
320	2419	5117
321	2422	5101
322	2430	5093
323	2435	5081
324	2443	5075
325	2450	5065
326	2455	5054
327	2464	5049
328	2470	5039
329	2479	5034
330	2490	5033
331	2500	5031
332	2508	5023
333	2513	5011
334	2519	5001
335	2526	4992
336	2535	4988
337	2544	4983
338	2558	4989
339	2565	4979
340	2573	4972
341	2578	4961
342	2589	4959
343	2592	4944
344	2598	4933
345	2607	4929
346	2617	4925
347	2627	4921
348	2637	4920
349	2645	4913
350	2654	4908
351	2663	4903
352	2672	4897
353	2677	4885
354	2689	4886
355	2696	4878
356	2704	4870
357	2711	4863
358	2719	4855
359	2726	4847
360	2731	4834
361	2739	4828
362	2749	4824
363	2757	4818
364	2767	4813
365	2777	4812
366	2786	4806
367	2793	4796
368	2803	4794
369	2808	4782
370	2818	4779
371	2821	4763
372	2826	4751
373	2836	4747
374	2844	4740
375	2850	4730
376	2855	4718
377	2866	4717
378	2875	4711
379	2880	4699
380	2887	4691
381	2900	4692
382	2905	4680
383	2915	4676
384	2920	4665
385	2928	4657
386	2935	4650
