iter	Logloss
0	0.6885356626
1	0.6846028123
2	0.6814718356
3	0.6777970989
4	0.6741095929
5	0.670063906
6	0.6656855303
7	0.6634036279
8	0.660284475
9	0.6564601953
10	0.653041364
11	0.6497397944
12	0.6467936718
13	13	0.643212414	014	0.640351015	015	0.6371456065
16	0.6349058517
17	0.631972818	018	0.6287352053
19	0.6255920	0.620	0.6230352741
21	0.6201663029
22	0.6175089587
23	0.6152556673
24	0.6120914464
25	0.6085087577
26	0.605227	0.6027	0.603028	0.6028	0.6008693409
29	0.598830	0.5963860781
31	0.5945815963
32	0.5922225493
33	0.5897868812
34	0.534	0.5871235	0.535	0.5856836	0.36	0.5830342102
37	0.5804554471
38	0.5781139	0.539	0.5760540	0.540	0.5735414997
41	0.5714631513
42	0.569641689
43	0.5678044	0.544	0.566245	0.5645	0.564246	0.5646	0.561847	0.5610554606
48	0.5594328682
49	0.5575927698
50	0.5555535231
51	0.5537790615
52	0.5519201336
53	0.5505320761
54	0.5482870298
55	0.5460230163
56	0.5441906362
57	0.5420559779
58	0.5404061856
59	0.5386656965
60	0.5371328475
61	0.5352374924
62	0.562	0.5319263	0.563	0.5299564	0.564	0.5284065	0.565	0.5264066	0.5266587171
67	0.5248240575
68	0.5230976114
69	0.569	0.5204570	0.570	0.5191471	0.571	0.5173872	0.572	0.515906285
73	0.514612845
74	0.5132174473
75	0.5122470066
76	0.5109533057
77	0.50945778	0.78	0.5081366067
79	0.5069014649
80	0.50550681	0.81	0.50408782	082	0.5022382125
83	0.5014384368
84	0.5001927551
85	0.4989063599
86	0.49794929
87	0.4969604988
88	0.4958068292
89	0.4947837322
90	0.4932409781
91	0.4921968102
92	0.4913176953
93	0.4896754943
94	0.488366382
95	0.487271618
96	0.486395771
97	0.4853689904
98	0.4846400503
99	0.4835918028
100	0.4821594565
101	0.4809189219
102	0.4800015432
103	0.4787436283
104	0.4778162214
105	0.477190682
106	0.4763410797
107	0.4752963393
108	0.47427110710109	0.473565286110	0.4754726319
111	0.4751293519
1112	0.47111177331113	0.4704975154
114	0.4693982302
115	0.4687521221
116	0.4676572836
117	0.4668764995
118	0.4660648665
119	0.4649147802
120	0.4642400663
121	0.4633190218
122	0.4626637072
123	0.4618523268
124	0.4611619036
125	0.4600539784
126	0.45905396127127	0.45801500128128	0.45688371129129	0.4562421933
130	0.455227653
131	0.4544034424
132	0.4536759503
133	0.4527399199
134	0.451916116
135	0.4512591575
136	0.4505462205
137	0.449820849
138	0.4488992604
139	0.4485808368
140	0.4476778348
141	0.4468287247
142	0.4458964106
143	0.4450847009
144	0.444295886
145	0.4436212225
146	0.4428719362
147	0.4421558696
148	0.44121146214149	0.440747299150	0.4432029733
151	0.44262226
152	0.4419360093
153	0.4414026612
154	0.4404565132
155	0.439990518
156	0.4394634071
157	0.4385402674
158	0.437665392
159	0.4371841247
160	0.4365174205
161	0.4358520125
162	0.4352032163
163	0.434359003
164	0.4339383226
165	0.4331709289
166	0.4321322078
167	0.4313683621
168	0.4308857676
169	0.4303945385
170	0.4295145156
171	0.4288919028
172	0.42815243
173	0.4272851599
174	0.4268173117
175	0.4262647572
176	0.4257783998
177	0.4252306662
178	0.4246018035
179	0.4241229697
180	0.4236016431
181	0.4231110466
182	0.4226920674
183	0.4220147229
184	0.4213687494
185	0.4207106491
186	0.4200811304
187	0.4196095533
188	0.4188992953
189	0.4184199852
190	0.4175941064
191	0.4170604797
192	0.4164597519
193	0.415953636
194	0.4152384034
195	0.4148122335
196	0.4140669701
197	0.413419385
198	0.4125285343
199	0.4119946191
200	0.411608432
201	0.4109519957
202	0.4103511876
203	0.4100623762
204	0.409685738
205	0.4092835908
206	0.4088620607
207	0.4082595447
208	0.4075188892
209	0.4068748503
210	0.4064038745
211	0.4060039964
212	0.4055353485
213	0.4051078884
214	0.4044478129
215	0.4040371699
216	0.4036878693
217	0.4032133704
218	0.4026866998
219	0.4023037339
220	0.4017355272
221	0.4013797825
222	0.4009610249
223	0.400645481
224	0.4001646581
225	0.399614228
226	0.3991899179
227	0.398539531
228	0.3981845667
229	0.3977178647
230	0.3974034135
231	0.3970354199
232	0.396845904
233	0.3965286631
234	0.3958792894
235	0.3956159745
236	0.3953240757
237	0.3949222928
238	0.394633501
239	0.3943080187
240	0.3938459193
241	0.3933884603
242	0.3930906474
